Date,Open,High,Low,Close,Volume,Updated
1989-10-26T23:59:59Z,8.58600,8.58600,8.58600,8.58600,null,1718281109860
1989-10-26T23:59:59Z,8.58600,8.58600,8.58600,8.58600,null,1718281109860
1989-11-01T23:59:59Z,8.60900,8.60900,8.60900,8.60900,null,1718281109860
1989-11-02T23:59:59Z,8.63400,8.63400,8.63400,8.63400,null,1718281109860
1989-11-03T23:59:59Z,8.64100,8.64100,8.64100,8.64100,null,1718281109860
1989-11-06T23:59:59Z,8.62500,8.62500,8.62500,8.62500,null,1718281109860
1989-11-07T23:59:59Z,8.60700,8.60700,8.60700,8.60700,null,1718281109860
1989-11-08T23:59:59Z,8.57400,8.57400,8.57400,8.57400,null,1718281109860
1989-11-09T23:59:59Z,8.59700,8.59700,8.59700,8.59700,null,1718281109860
1989-11-10T23:59:59Z,8.60100,8.60100,8.60100,8.60100,null,1718281109860
1989-11-13T23:59:59Z,8.59300,8.59300,8.59300,8.59300,null,1718281109860
1989-11-14T23:59:59Z,8.59300,8.59300,8.59300,8.59300,null,1718281109860
1989-11-15T23:59:59Z,8.59700,8.59700,8.59700,8.59700,null,1718281109860
1989-11-16T23:59:59Z,8.60400,8.60400,8.60400,8.60400,null,1718281109860
1989-11-17T23:59:59Z,8.60800,8.60800,8.60800,8.60800,null,1718281109860
1989-11-20T23:59:59Z,8.60300,8.60300,8.60300,8.60300,null,1718281109860
1989-11-21T23:59:59Z,8.61000,8.61000,8.61000,8.61000,null,1718281109860
1989-11-22T23:59:59Z,8.60500,8.60500,8.60500,8.60500,null,1718281109860
1989-11-24T23:59:59Z,8.63900,8.63900,8.63900,8.63900,null,1718281109860
1989-11-27T23:59:59Z,8.64600,8.64600,8.64600,8.64600,null,1718281109860
1989-11-28T23:59:59Z,8.63700,8.63700,8.63700,8.63700,null,1718281109860
1989-11-29T23:59:59Z,8.66500,8.66500,8.66500,8.66500,null,1718281109860
1989-11-30T23:59:59Z,8.66600,8.66600,8.66600,8.66600,null,1718281109860
1989-12-01T23:59:59Z,8.66400,8.66400,8.66400,8.66400,null,1718281109860
1989-12-04T23:59:59Z,8.68000,8.68000,8.68000,8.68000,null,1718281109860
