Date,Open,High,Low,Close,Volume,Updated
1990-11-19T23:59:59Z,7.18270,7.18740,7.18270,7.18740,null,1718273021953
1990-11-19T23:59:59Z,7.18270,7.18740,7.18270,7.18740,null,1718273021953
1990-11-20T23:59:59Z,7.15170,7.15650,7.15170,7.15650,null,1718273021953
1990-11-21T23:59:59Z,7.16700,7.17180,7.16700,7.17180,null,1718273021953
1990-11-22T23:59:59Z,7.16880,7.17360,7.16880,7.17360,null,1718273021953
1990-11-23T23:59:59Z,7.15720,7.16200,7.15720,7.16200,null,1718273021953
1990-11-26T23:59:59Z,7.16260,7.16740,7.16260,7.16740,null,1718273021953
1990-11-27T23:59:59Z,7.21070,7.21550,7.21070,7.21550,null,1718273021953
1990-11-28T23:59:59Z,7.16050,7.16520,7.16050,7.16520,null,1718273021953
1990-11-29T23:59:59Z,7.07060,7.07530,7.07060,7.07530,null,1718273021953
1990-11-30T23:59:59Z,7.07060,7.07530,7.07060,7.07530,null,1718273021953
1990-12-03T23:59:59Z,6.97960,6.98430,6.97960,6.98430,null,1718273021953
1990-12-04T23:59:59Z,7.02510,7.02980,7.02510,7.02980,null,1718273021953
1990-12-05T23:59:59Z,7.00870,7.01340,7.00870,7.01340,null,1718273021953
1990-12-06T23:59:59Z,7.05420,7.05840,7.05420,7.05840,null,1718273021953
1990-12-07T23:59:59Z,7.10510,7.10990,7.10510,7.10990,null,1718273021953
1990-12-10T23:59:59Z,7.07240,7.07710,7.07240,7.07710,null,1718273021953
1990-12-11T23:59:59Z,7.05060,7.05530,7.05060,7.05530,null,1718273021953
1990-12-12T23:59:59Z,7.09420,7.09900,7.09420,7.09900,null,1718273021953
1990-12-13T23:59:59Z,7.07710,7.08190,7.07710,7.08190,null,1718273021953
1990-12-14T23:59:59Z,7.04870,7.05350,7.04870,7.05350,null,1718273021953
1990-12-17T23:59:59Z,7.02330,7.02800,7.02330,7.02800,null,1718273021953
1990-12-18T23:59:59Z,7.06880,7.07350,7.06880,7.07350,null,1718273021953
1990-12-19T23:59:59Z,7.02330,7.02800,7.02330,7.02800,null,1718273021953
1990-12-20T23:59:59Z,6.88680,6.89150,6.88680,6.89150,null,1718273021953
1990-12-21T23:59:59Z,6.86130,6.86600,6.86130,6.86600,null,1718273021953
1990-12-24T23:59:59Z,6.79400,6.79860,6.79400,6.79860,null,1718273021953
1990-12-25T23:59:59Z,6.81220,6.82050,6.81220,6.82050,null,1718273021953
1990-12-26T23:59:59Z,6.84680,6.85230,6.84680,6.85230,null,1718273021953
1990-12-27T23:59:59Z,6.87410,6.87870,6.87410,6.87870,null,1718273021953
1990-12-28T23:59:59Z,7.01240,7.01710,7.01240,7.01710,null,1718273021953
1990-12-31T23:59:59Z,7.03050,7.03890,7.03050,7.03890,null,1718273021953
1991-01-02T23:59:59Z,7.07420,7.07900,7.07420,7.07900,null,1718273021953
1991-01-03T23:59:59Z,7.08150,7.08620,7.08150,7.08620,null,1718273021953
1991-01-04T23:59:59Z,7.03960,7.04440,7.03960,7.04440,null,1718273021953
1991-01-07T23:59:59Z,6.92360,6.92820,6.92360,6.92820,null,1718273021953
1991-01-08T23:59:59Z,6.90320,6.90780,6.90320,6.90780,null,1718273021953
1991-01-09T23:59:59Z,6.90860,6.91420,6.90860,6.91420,null,1718273021953
1991-01-10T23:59:59Z,6.95960,6.96430,6.95960,6.96430,null,1718273021953
1991-01-11T23:59:59Z,6.94030,6.94460,6.94030,6.94460,null,1718273021953
1991-01-14T23:59:59Z,6.92680,6.93150,6.92680,6.93150,null,1718273021953
1991-01-15T23:59:59Z,6.94320,6.94790,6.94320,6.94790,null,1718273021953
1991-01-16T23:59:59Z,6.92870,6.93330,6.92870,6.93330,null,1718273021953
1991-01-17T23:59:59Z,7.03350,7.03820,7.03350,7.03820,null,1718273021953
1991-01-18T23:59:59Z,7.09420,7.09900,7.09420,7.09900,null,1718273021953
1991-01-21T23:59:59Z,7.11240,7.11720,7.11240,7.11720,null,1718273021953
1991-01-22T23:59:59Z,7.07420,7.07900,7.07420,7.07900,null,1718273021953
1991-01-23T23:59:59Z,7.12950,7.13430,7.12950,7.13430,null,1718273021953
1991-01-24T23:59:59Z,7.11790,7.12260,7.11790,7.12260,null,1718273021953
1991-01-25T23:59:59Z,7.11790,7.12260,7.11790,7.12260,null,1718273021953
1991-01-28T23:59:59Z,7.14880,7.15360,7.14880,7.15360,null,1718273021953
1991-01-29T23:59:59Z,7.12630,7.13050,7.12630,7.13050,null,1718273021953
1991-01-30T23:59:59Z,7.14150,7.14630,7.14150,7.14630,null,1718273021953
1991-01-31T23:59:59Z,7.15250,7.15720,7.15250,7.15720,null,1718273021953
1991-02-01T23:59:59Z,7.18700,7.19180,7.18700,7.19180,null,1718273021953
1991-02-04T23:59:59Z,7.20590,7.21070,7.20590,7.21070,null,1718273021953
1991-02-05T23:59:59Z,7.24520,7.25010,7.24520,7.25010,null,1718273021953
1991-02-06T23:59:59Z,7.29070,7.29560,7.29070,7.29560,null,1718273021953
1991-02-07T23:59:59Z,7.24160,7.24640,7.24160,7.24640,null,1718273021953
1991-02-08T23:59:59Z,7.23430,7.23910,7.23430,7.23910,null,1718273021953
1991-02-11T23:59:59Z,7.26710,7.27190,7.26710,7.27190,null,1718273021953
1991-02-12T23:59:59Z,7.23980,7.24460,7.23980,7.24460,null,1718273021953
1991-02-13T23:59:59Z,7.21610,7.22090,7.21610,7.22090,null,1718273021953
1991-02-14T23:59:59Z,7.20340,7.20820,7.20340,7.20820,null,1718273021953
1991-02-15T23:59:59Z,7.15610,7.16090,7.15610,7.16090,null,1718273021953
1991-02-18T23:59:59Z,7.14150,7.14630,7.14150,7.14630,null,1718273021953
1991-02-19T23:59:59Z,7.09710,7.10100,7.09710,7.10100,null,1718273021953
1991-02-20T23:59:59Z,7.09530,7.10010,7.09530,7.10010,null,1718273021953
1991-02-21T23:59:59Z,7.12040,7.12430,7.12040,7.12430,null,1718273021953
1991-02-22T23:59:59Z,7.07240,7.07710,7.07240,7.07710,null,1718273021953
1991-02-25T23:59:59Z,7.00690,7.01160,7.00690,7.01160,null,1718273021953
